id	type	language	accessRights	institutionID	institutionCode	basisOfRecord	occurrenceID	recordNumber	recordedBy	recordedByID	individualCount	sex	lifeStage	reproductiveCondition	establishmentMeans	occurrenceStatus	preparations	otherCatalogNumbers	occurrenceRemarks	organismRemarks	eventID	parentEventID	eventDate	eventTime	year	month	day	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventRemarks	continent	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	georeferencedBy	verbatimIdentification	identificationQualifier	identifiedBy	identifiedByID	dateIdentified	identificationRemarks	scientificName	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	taxonomicStatus
SDA:ART:PDEM:REG785	Event	es	Solo para uso no comercial	899.999.061-9	Secretaría Distrital de Ambiente (SDA)	HumanObservation	SDA:ART:PDEM:REG785	REG785	Cristian Camilo Gonzalez Aguas	https://www.linkedin.com/in/cristian-camilo-gonzalez-aguas/	1	Desconocido	Adulto	No reproductiva		present	Colecta definitiva: Animal completo (ETOH)				ENGA_12_RED	ENGA_12	2021-06-15	11:24:00	2021	06	15	Zona endurecida	Red entomológica	15	pasos	75 pasos por puntos	Soleado	América del Sur	Colombia	CO	Bogotá, D.C.	Bogotá, D.C.	Bogotá, Distrito Capital	Parque Distrital Ecológico de Montaña Entre Nubes	PDEM Entre Nubes	2964	2964	2964	GPS		4.4925611	-74.0932	WGS84	71		4° 29' 33.22" N, 74° 5' 35.52" W	4° 29' 33.22" N	74° 5' 35.52" W	Grados, minutos, segundos	WGS84	Maria del Pilar Urrego Salinas | Cristian Camilo Gonzalez Aguas	Astylus aulicus		Jorge Humberto Garcia Concha | Maria del Pilar Urrego Salinas	https://www.linkedin.com/mwlite/in/jorge-humberto-garcia-concha-2a98351b2 | https://orcid.org/0000-0003-0586-0838	2021-05-08/2022-09-30		Astylus aulicus	Animalia | Arthropoda | Hexapoda | Insecta | Pterygota | Coleoptera | Melyridae | Astylus	Animalia	Arthropoda	Insecta	Coleoptera	Melyridae		Astylus	aulicus		Especie		Laporte, 1836	Escarabajo	Válido
SDA:ART:PDEM:REG786	Event	es	Solo para uso no comercial	899.999.061-9	Secretaría Distrital de Ambiente (SDA)	HumanObservation	SDA:ART:PDEM:REG786	REG786	Maria del Pilar Urrego Salinas	https://orcid.org/0000-0003-0586-0838	1	Hembra	Adulto	No reproductiva		present	Colecta definitiva: Animal completo (ETOH)				ENGA_12_RED	ENGA_12	2021-06-15	11:24:00	2021	06	15	Arbustales	Red entomológica	15	pasos	75 pasos por puntos	Soleado	América del Sur	Colombia	CO	Bogotá, D.C.	Bogotá, D.C.	Bogotá, Distrito Capital	Parque Distrital Ecológico de Montaña Entre Nubes	PDEM Entre Nubes	2964	2964	2964	GPS		4.4925611	-74.0932	WGS84	71		4° 29' 33.22" N, 74° 5' 35.52" W	4° 29' 33.22" N	74° 5' 35.52" W	Grados, minutos, segundos	WGS84	Maria del Pilar Urrego Salinas | Cristian Camilo Gonzalez Aguas	MF 283	cf. araneus	Cristian Camilo Gonzalez Aguas | Maria del Pilar Urrego Salinas	https://www.linkedin.com/in/cristian-camilo-gonzalez-aguas/ | https://orcid.org/0000-0003-0586-0838	2021-05-08/2022-09-30	A nivel de familia por dificultad en las determinaciones. Sin embargo se cree que puede ser ese género. Se requiere de un especialista	Araneidae	Animalia | Arthropoda | Chelicerata | Euchelicerata | Arachnida | Araneae | Araneidae |	Animalia	Arthropoda	Euchelicerata	Araneae	Araneidae					Familia	Morfotipo283.	Clerck, 1757	Arañas de Telas Orbiculares	Válido
SDA:ART:PDEM:REG787	Event	es	Solo para uso no comercial	899.999.061-9	Secretaría Distrital de Ambiente (SDA)	HumanObservation	SDA:ART:PDEM:REG787	REG787	Cristian Camilo Gonzalez Aguas	https://www.linkedin.com/in/cristian-camilo-gonzalez-aguas/	1	Hembra	Adulto	No reproductiva		present	Colecta definitiva: Animal completo (ETOH)				ENGA_12_RED	ENGA_12	2021-06-15	11:24:00	2021	06	15	Arbustales	Red entomológica	15	pasos	75 pasos por puntos	Soleado	América del Sur	Colombia	CO	Bogotá, D.C.	Bogotá, D.C.	Bogotá, Distrito Capital	Parque Distrital Ecológico de Montaña Entre Nubes	PDEM Entre Nubes	2964	2964	2964	GPS		4.4925611	-74.0932	WGS84	71		4° 29' 33.22" N, 74° 5' 35.52" W	4° 29' 33.22" N	74° 5' 35.52" W	Grados, minutos, segundos	WGS84	Maria del Pilar Urrego Salinas | Cristian Camilo Gonzalez Aguas	MF 284		Cristian Camilo Gonzalez Aguas | Maria del Pilar Urrego Salinas	https://www.linkedin.com/in/cristian-camilo-gonzalez-aguas/ | https://orcid.org/0000-0003-0586-0838	2021-05-08/2022-09-30	A nivel de género por dificultad en las determinaciones. Se requiere de un especialista	Cyclosa	Animalia | Arthropoda | Chelicerata | Euchelicerata | Arachnida | Araneae | Araneidae | Cyclosa	Animalia	Arthropoda	Euchelicerata	Araneae	Araneidae		Cyclosa			Género	Morfotipo284.	Menge, 1866	Arañas Alineadoras de Deshechos	Válido
SDA:ART:PDEM:REG917	Event	es	Solo para uso no comercial	899.999.061-9	Secretaría Distrital de Ambiente (SDA)	HumanObservation	SDA:ART:PDEM:REG917	REG917	Cristian Camilo Gonzalez Aguas	https://www.linkedin.com/in/cristian-camilo-gonzalez-aguas/	1	Desconocido	Adulto	No reproductiva		present	Colecta definitiva: Animal completo (Sobre)				SOR_7_MM	SOR_7	2021-05-18	19:30:00	2021	05	18	Herbazales	Colecta Manual	30	Minutos	30 minutos de busqueda	Soleado	América del Sur	Colombia	CO	Bogotá, D.C.	Bogotá, D.C.	Bogotá, Distrito Capital	Parque Ecológico Distrital de Montaña Soratama	PDEM Soratama	2921	2921	2921	GPS		4.74185	-74.0115028	WGS84	71		4° 44' 30.660" N, 74° 0' 41.410" W	4° 44' 30.660" N	74° 0' 41.410" W	Grados, minutos, segundos	WGS84	Maria del Pilar Urrego Salinas | Cristian Camilo Gonzalez Aguas	MF 262		Maria del Pilar Urrego Salinas | Cristian Camilo Gonzalez Aguas	https://orcid.org/0000-0003-0586-0838 | https://www.linkedin.com/in/cristian-camilo-gonzalez-aguas/	2021-05-08/2022-09-30	A nivel de familia por dificultad en las determinaciones. Se requiere de un especialista	Erebidae	Animalia | Arthropoda | Hexapoda | Insecta | Pterygota | Lepidoptera | Erebidae	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae					Familia	Morfotipo262.	Leach, 1815	Larva de marposa	Válido
SDA:ART:PDEM:REG939	Event	es	Solo para uso no comercial	899.999.061-9	Secretaría Distrital de Ambiente (SDA)	HumanObservation	SDA:ART:PDEM:REG939	REG939	Cristian Camilo Gonzalez Aguas	https://www.linkedin.com/in/cristian-camilo-gonzalez-aguas/	1	Desconocido	Adulto	No reproductiva	Endémica	present	Colecta definitiva: Animal completo (ETOH)				SOR_2_TP	SOR_2	2021-05-18	18:00:00	2021	05	18	Arbustales	Trampas de caída “Pitfall	5	Trampas de caida	Transecto de 8 metros con 5 trampas de caida	Soleado	América del Sur	Colombia	CO	Bogotá, D.C.	Bogotá, D.C.	Bogotá, Distrito Capital	Parque Ecológico Distrital de Montaña Soratama	PDEM Soratama	2852	2852	2852	GPS		4.7413583	-74.0137667	WGS84	71		4° 44' 28.890" N, 74° 0' 49.560" W	4° 44' 28.890" N	74° 0' 49.560" W	Grados, minutos, segundos	WGS84	Maria del Pilar Urrego Salinas | Cristian Camilo Gonzalez Aguas	Rhaucus serripes		Cristian Camilo Gonzalez Aguas | Maria del Pilar Urrego Salinas	https://www.linkedin.com/in/cristian-camilo-gonzalez-aguas/ | https://orcid.org/0000-0003-0586-0838	2021-05-08/2022-09-30		Rhaucus serripes	Animalia | Arthropoda | Chelicerata | Euchelicerata | Arachnida | Opiliones | Cosmetidae | Rhaucus	Animalia	Arthropoda	Euchelicerata	Opiliones	Cosmetidae		Rhaucus	serripes		Especie		Simon, 1879	Opiliones	Válido
SDA:ART:PDEM:REG940	Event	es	Solo para uso no comercial	899.999.061-9	Secretaría Distrital de Ambiente (SDA)	HumanObservation	SDA:ART:PDEM:REG940	REG940	Maria del Pilar Urrego Salinas	https://orcid.org/0000-0003-0586-0838	2	Desconocido	Adulto	No reproductiva		present	Colecta definitiva: Animal completo (ETOH)				SOR_2_TP	SOR_2	2021-05-18	18:00:00	2021	05	18	Arbustales	Trampas de caída “Pitfall	5	Trampas de caida	Transecto de 8 metros con 5 trampas de caida	Soleado	América del Sur	Colombia	CO	Bogotá, D.C.	Bogotá, D.C.	Bogotá, Distrito Capital	Parque Ecológico Distrital de Montaña Soratama	PDEM Soratama	2852	2852	2852	GPS		4.7413583	-74.0137667	WGS84	71		4° 44' 28.890" N, 74° 0' 49.560" W	4° 44' 28.890" N	74° 0' 49.560" W	Grados, minutos, segundos	WGS84	Maria del Pilar Urrego Salinas | Cristian Camilo Gonzalez Aguas	MF 11		Jorge Humberto Garcia Concha | Maria del Pilar Urrego Salinas	https://www.linkedin.com/mwlite/in/jorge-humberto-garcia-concha-2a98351b2 | https://orcid.org/0000-0003-0586-0838	2021-05-08/2022-09-30	A nivel de familia por dificultad en las determinaciones. Se requiere de un especialista	Blattidae	Animalia | Arthropoda | Hexapoda | Insecta | Pterygota | Blattodea | Blattidae	Animalia	Arthropoda	Insecta	Blattodea	Blattidae					Familia	Morfotipo11.	Latreille, 1810	Cucaracha	Válido
SDA:ART:PDEM:REG941	Event	es	Solo para uso no comercial	899.999.061-9	Secretaría Distrital de Ambiente (SDA)	HumanObservation	SDA:ART:PDEM:REG941	REG941	Cristian Camilo Gonzalez Aguas	https://www.linkedin.com/in/cristian-camilo-gonzalez-aguas/	1	Desconocido	Adulto	No reproductiva		present	Colecta definitiva: Animal completo (ETOH)				SOR_5_TP	SOR_5	2021-05-18	19:00:00	2021	05	18	Bosque	Trampas de caída “Pitfall	5	Trampas de caida	Transecto de 8 metros con 5 trampas de caida	Soleado	América del Sur	Colombia	CO	Bogotá, D.C.	Bogotá, D.C.	Bogotá, Distrito Capital	Parque Ecológico Distrital de Montaña Soratama	PDEM Soratama	2929	2929	2929	GPS		4.7409528	-74.0115667	WGS84	71		4° 44' 27.430" N, 74° 0' 41.640" W	4° 44' 27.430" N	74° 0' 41.640" W	Grados, minutos, segundos	WGS84	Maria del Pilar Urrego Salinas | Cristian Camilo Gonzalez Aguas	MF 83		Cristian Camilo Gonzalez Aguas | Maria del Pilar Urrego Salinas	https://www.linkedin.com/in/cristian-camilo-gonzalez-aguas/ | https://orcid.org/0000-0003-0586-0838	2021-05-08/2022-09-30	A nivel de familia por dificultad en las determinaciones. Se requiere de un especialista	Sclerosomatidae	Animalia | Arthropoda | Chelicerata | Euchelicerata | Arachnida | Opiliones | Sclerosomatidae	Animalia	Arthropoda	Euchelicerata	Opiliones	Sclerosomatidae					Familia	Morfotipo83.	Simon, 1879	Opilion	Válido
SDA:ART:PDEM:REG942	Event	es	Solo para uso no comercial	899.999.061-9	Secretaría Distrital de Ambiente (SDA)	HumanObservation	SDA:ART:PDEM:REG942	REG942	Maria del Pilar Urrego Salinas	https://orcid.org/0000-0003-0586-0838	1	Desconocido	Adulto	No reproductiva		present	Colecta definitiva: Animal completo (ETOH)				SOR_5_TP	SOR_5	2021-05-18	19:00:00	2021	05	18	Bosque	Trampas de caída “Pitfall	5	Trampas de caida	Transecto de 8 metros con 5 trampas de caida	Soleado	América del Sur	Colombia	CO	Bogotá, D.C.	Bogotá, D.C.	Bogotá, Distrito Capital	Parque Ecológico Distrital de Montaña Soratama	PDEM Soratama	2929	2929	2929	GPS		4.7409528	-74.0115667	WGS84	71		4° 44' 27.430" N, 74° 0' 41.640" W	4° 44' 27.430" N	74° 0' 41.640" W	Grados, minutos, segundos	WGS84	Maria del Pilar Urrego Salinas | Cristian Camilo Gonzalez Aguas	MF 264		Cristian Camilo Gonzalez Aguas | Maria del Pilar Urrego Salinas	https://www.linkedin.com/in/cristian-camilo-gonzalez-aguas/ | https://orcid.org/0000-0003-0586-0838	2021-05-08/2022-09-30	A nivel de familia por dificultad en las determinaciones. Se requiere de un especialista	Cosmetidae	Animalia | Arthropoda | Chelicerata | Euchelicerata | Arachnida | Opiliones | Cosmetidae	Animalia	Arthropoda	Euchelicerata	Opiliones	Cosmetidae					Familia	Morfotipo264.	Sundevall, 1833	Opilion	Válido
SDA:ART:PDEM:REG943	Event	es	Solo para uso no comercial	899.999.061-9	Secretaría Distrital de Ambiente (SDA)	HumanObservation	SDA:ART:PDEM:REG943	REG943	Cristian Camilo Gonzalez Aguas	https://www.linkedin.com/in/cristian-camilo-gonzalez-aguas/	1	Desconocido	Adulto	No reproductiva		present	Colecta definitiva: Animal completo (ETOH)				SOR_1_TP	SOR_1	2021-05-18	18:00:00	2021	05	18	Bosque	Trampas de caída “Pitfall	5	Trampas de caida	Transecto de 8 metros con 5 trampas de caida	Soleado	América del Sur	Colombia	CO	Bogotá, D.C.	Bogotá, D.C.	Bogotá, Distrito Capital	Parque Ecológico Distrital de Montaña Soratama	PDEM Soratama	2846	2846	2846	GPS		4.7424667	-74.0140472	WGS84	71		4° 44' 32.880" N, 74° 0' 50.570" W	4° 44' 32.880" N	74° 0' 50.570" W	Grados, minutos, segundos	WGS84	Maria del Pilar Urrego Salinas | Cristian Camilo Gonzalez Aguas	MF 150	aff. coarctatus	Jorge Humberto Garcia Concha | Maria del Pilar Urrego Salinas	https://www.linkedin.com/mwlite/in/jorge-humberto-garcia-concha-2a98351b2 | https://orcid.org/0000-0003-0586-0838	2021-05-08/2022-09-30	A nivel de género por dificultad en las determinaciones. Sin embargo puede ser esa especie. Se requiere de un especialista	Uroxys	Animalia | Arthropoda | Hexapoda | Insecta | Pterygota | Coleoptera | Scarabaeidae | Uroxys	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae		Uroxys			Género	Morfotipo150.	Westwood, 1842	Escarabajo Coprófago	Válido
SDA:ART:PDEM:REG944	Event	es	Solo para uso no comercial	899.999.061-9	Secretaría Distrital de Ambiente (SDA)	HumanObservation	SDA:ART:PDEM:REG944	REG944	Maria del Pilar Urrego Salinas	https://orcid.org/0000-0003-0586-0838	9	Desconocido	Adulto	No reproductiva		present	Colecta definitiva: Animal completo (ETOH)				SOR_1_TP	SOR_1	2021-05-18	18:00:00	2021	05	18	Bosque	Trampas de caída “Pitfall	5	Trampas de caida	Transecto de 8 metros con 5 trampas de caida	Soleado	América del Sur	Colombia	CO	Bogotá, D.C.	Bogotá, D.C.	Bogotá, Distrito Capital	Parque Ecológico Distrital de Montaña Soratama	PDEM Soratama	2846	2846	2846	GPS		4.7424667	-74.0140472	WGS84	71		4° 44' 32.880" N, 74° 0' 50.570" W	4° 44' 32.880" N	74° 0' 50.570" W	Grados, minutos, segundos	WGS84	Maria del Pilar Urrego Salinas | Cristian Camilo Gonzalez Aguas	MF 26		Jorge Humberto Garcia Concha | Maria del Pilar Urrego Salinas	https://www.linkedin.com/mwlite/in/jorge-humberto-garcia-concha-2a98351b2 | https://orcid.org/0000-0003-0586-0838	2021-05-08/2022-09-30	A nivel de familia por dificultad en las determinaciones. Se requiere de un especialista	Formicidae	Animalia | Arthropoda | Hexapoda | Insecta | Pterygota | Hymenoptera | Formicidae	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae					Familia	Morfotipo26.	Latreille, 1809	Hormiga	Válido
